source|source_Material|source_MaterialPrefixed|target_Material|target_MaterialName|target_MaterialType
Roman&Eline|0053.930-00002|0053.930-00002|3000021945|HBS-05 - RDZ -16/14 (CH)|ZHAW
Roman&Eline|0053.930-00009|0053.930-00009|3000021952|HBS-05 - RDZ -26/20 (CH)|ZHAW
Roman&Eline|0053.930-00016|0053.930-00016|3000021959|HBS-05 - RDZ -40/34 (CH)|ZHAW
Roman&Eline|0053.910-00007|0053.910-00007|3000021966|HBS-05 - S -26 (CH)|ZHAW
Roman&Eline|0566.320-00006|0566.320-00006|3000021976|HBS-05 - SW -22 (CH)|ZHAW
Roman&Eline|0566.100-00010|0566.100-00010|3000021983|HBS-05 -EA-30 (CH)|ZHAW
Roman&Eline|0062.060-00005|0062.060-00005|3000021991|HBS-05 S&-A -20 (CH)|ZHAW
Roman&Eline|0566.010-00002|0566.010-00002|3000022001|HBS-05-S-12 Gew.Muffe|ZHAW
Roman&Eline|0001.919-00086|0001.919-00086|3000022019|HBS-05-TIG-22-Verbindungsmuffe (CH)|ZHAW
TimeXtender|0055.050-00013|G0055.050-00013|1000001415|HBT NL 150-12/15 -1250 (36)|ZFER
TimeXtender|0057.120-00004|G0057.120-00004|1000001542|PS HDB SR P-10/145-3|ZFER
TimeXtender|0057.120-00011|G0057.120-00011|1000001549|PS HDB SR P-10/185-2|ZFER
TimeXtender|0057.120-00018|G0057.120-00018|1000001556|PS HDB SR P-10/215-3|ZFER
TimeXtender|0057.120-00025|G0057.120-00025|1000001563|PS HDB SR P-12/185-2|ZFER
TimeXtender|0057.120-00032|G0057.120-00032|1000001570|PS HDB SR P-12/215-3|ZFER
TimeXtender|0057.130-00038|G0057.130-00038|1000001577|PS HDB SR R-14/185-3|ZFER
TimeXtender|0057.130-00045|G0057.130-00045|1000001584|PS HDB SR R-14/225-2|ZFER
TimeXtender|0057.130-00052|G0057.130-00052|1000001591|PS HDB SR R-14/255-3|ZFER
TimeXtender|0057.130-00059|G0057.130-00059|1000001598|PS HDB SR R-16/235-2|ZFER
TimeXtender|451104013|C0451104013|1000200142|AC CRET SILENT D C986-30 S3|ZFER
TimeXtender|451105030|C0451105030|1000200149|AC CRET SILENT 992P E10 S2|ZFER
TimeXtender|451107020|C0451107020|1000200156|AC CRET SILENT S CS994 S2|ZFER
TimeXtender|451205100|C0451205100|1000200163|AC APG TO CRET SILENT 946 S3|ZFER
TimeXtender|BSM11011020-20|DBSM11011020-20|1000200169|SC FPC ED-ESD 10-20|ZFER
TimeXtender|BSM11011040-25|DBSM11011040-25|1000201782|SC FPC ED-ESD 18-40|ZFER
TimeXtender|BSM165110-20|DBSM165110-20|1000200180|SC FPC DSD 65-20|ZFER
TimeXtender|BSMQ16011020-30|DBSMQ16011020-30|1000200187|SC FPC ESDQ 20-20|ZFER
TimeXtender|BSMQ22016030-35|DBSMQ22016030-35|1000200194|SC FPC HLDQ 35-30|ZFER
TimeXtender|DSD400H|DDSD400H|1000200203|SC DSD F 400-S2|ZFER
TimeXtender|0027.020-00010|G0027.020-00010|1000200670|CC-CG HKW- 80/6 A2-2000/4|ZFER
TimeXtender|0027.030-00010|G0027.030-00010|1000200677|CC-CG HKW- 100/8 A2-2000/4|ZFER
TimeXtender|0053.020-00004|G0053.020-00004|1000200684|HBS-05 - S-12/ 1180|ZFER
TimeXtender|0053.020-00015|G0053.020-00015|1000200691|HBS-05 - S-25/ 400|ZFER
TimeXtender|0055.009-00001|G0055.009-00001|1000200698|HBT SK Sonderkonstruktion|ZFER
TimeXtender|0058.030-00006|G0058.030-00006|1000200705|PC-HLB-M-20/150|ZFER
TimeXtender|0058.050-00006|G0058.050-00006|1000200712|PC-HLB-M-100/150|ZFER
TimeXtender|0071.010-00001|G0071.010-00001|1000200719|LS-TPA-RC-R1-2.5|ZFER
TimeXtender|0071.020-00006|G0071.020-00006|1000200726|LS-TPA-RC-R2-10.0-PU|ZFER
TimeXtender|0072.010-00004|G0072.010-00004|1000200733|LS-TPA-RF-A1-26.0|ZFER
TimeXtender|0970.020-00005|G0970.020-00005|1000201516|AC HBB-18-OQ|ZFER
TimeXtender|0971.010-00007|G0971.010-00007|1000201523|AC HTT-4-22-100|ZFER
TimeXtender|0971.020-00010|G0971.020-00010|1000201529|AC HTT-6-25-100|ZFER
TimeXtender|0972.010-00002|G0972.010-00002|1000201535|AC HTF-120|ZFER
TimeXtender|0974.010-00001|G0974.010-00001|1000201542|AC HTPL-100|ZFER
TimeXtender|2001.040-00804|G2001.040-00804|1000201553|CC-C HR-HTA-CE 40/22 HDG-0300/3|ZFER
TimeXtender|2001.042-00806|G2001.042-00806|1000201564|CC-C HR-HTA-CE 40/22 A4-0400|ZFER
TimeXtender|2001.082-00802|G2001.082-00802|1000201575|CC-C HR-HTA-CE 50/30 A4-0200|ZFER
TimeXtender|2112.010-00030|G2112.010-00030|1000201826|BS-AS-KWL-3,2-170-1000-L4|ZFER
TimeXtender|9910.020-00001|G9910.020-00001|1000201589|BQS HRM-505-1|ZFER
TimeXtender|0930.900-00007|G0930.900-00007|4000003639|BC HIT SP FK-22-100|ZHAL
TimeXtender|2562.090-00003|G2562.090-00003|4000003680|SCF-BRA PRO- 1 L= 450mm -L4 PAC|ZHAL
TimeXtender|2562.090-00010|G2562.090-00010|4000003687|SCF-BRA PRO- 2 L= 500mm -L4 PAC|ZHAL
TimeXtender|2562.090-00018|G2562.090-00018|4000003695|SCF-BRA PRO- 3 L= 600mm -L4 PAC|ZHAL
TimeXtender|2562.090-00026|G2562.090-00026|4000003703|SCF-BRA PRO- 4 L= 700mm -L4 PAC|ZHAL
TimeXtender|2562.090-00034|G2562.090-00034|4000003711|SCF-BRA PRO- 5 L= 700mm -L4 PAC|ZHAL
TimeXtender|2562.090-00041|G2562.090-00041|4000003718|SCF-BRA PRO- 6 L= 800mm -L4 PAC|ZHAL
TimeXtender|2562.090-00048|G2562.090-00048|4000003725|SCF-BRA PRO- 7 L= 750mm -L4 PAC|ZHAL
Michel Delta|309511001|C0309511001|4000003805|CO ORSO-V CENTERING SLEEVE Ø48,3X70MM|ZHAL
Michel Delta|159853007|C0159853007|4000003812|PS DURA-S-SR COMPR PL D26 S355 DRILLED|ZHAL
