SalesOrganizationID,CountryID,ZipCodeFrom,ZipCodeTo,SalesDistrictID
AT01,AT,3074,3074,AT_02
AT01,AT,3100,3100,AT_02
AT01,AT,3101,3101,AT_02
AT01,AT,3104,3104,AT_02
AT01,AT,3105,3105,AT_02
AT01,AT,3106,3106,AT_02
AT01,AT,3107,3107,AT_02
AT01,AT,3108,3108,AT_02
AT01,AT,3109,3109,AT_02
AT01,AT,3110,3110,AT_02
AT01,AT,3111,3111,AT_02
AT01,AT,3121,3121,AT_02
AT01,AT,3122,3122,AT_02
AT01,AT,3123,3123,AT_02
AT01,AT,3124,3124,AT_02
AT01,AT,3125,3125,AT_02
AT01,AT,3130,3130,AT_02
AT01,AT,3131,3131,AT_02
AT01,AT,3133,3133,AT_02
AT01,AT,3134,3134,AT_02
AT01,AT,3140,3140,AT_02
AT01,AT,3141,3141,AT_02
AT01,AT,3142,3142,AT_02
AT01,AT,3143,3143,AT_02
AT01,AT,3144,3144,AT_02
AT01,AT,3150,3150,AT_02
AT01,AT,3151,3151,AT_02
AT01,AT,3153,3153,AT_02
AT01,AT,3160,3160,AT_02
AT01,AT,3161,3161,AT_02
AT01,AT,3162,3162,AT_02
AT01,AT,3163,3163,AT_02
AT01,AT,3170,3170,AT_02
AT01,AT,3171,3171,AT_02
AT01,AT,3172,3172,AT_02
AT01,AT,3180,3180,AT_02
AT01,AT,3182,3182,AT_02
AT01,AT,3183,3183,AT_02
AT01,AT,3184,3184,AT_02
AT01,AT,3192,3192,AT_02
AT01,AT,3193,3193,AT_02
AT01,AT,3195,3195,AT_02
AT01,AT,3200,3200,AT_02
AT01,AT,3202,3202,AT_02
AT01,AT,3203,3203,AT_02
AT01,AT,3204,3204,AT_02
AT01,AT,3205,3205,AT_02
AT01,AT,3211,3211,AT_02
AT01,AT,3212,3212,AT_02
AT01,AT,3213,3213,AT_02
AT01,AT,3214,3214,AT_02
AT01,AT,3221,3221,AT_02
AT01,AT,3222,3222,AT_02
AT01,AT,3223,3223,AT_02
AT01,AT,3224,3224,AT_02
AT01,AT,3231,3231,AT_02
AT01,AT,3232,3232,AT_02
AT01,AT,3233,3233,AT_02
AT01,AT,3240,3240,AT_02
AT01,AT,3241,3241,AT_02
AT01,AT,3242,3242,AT_02
AT01,AT,3243,3243,AT_02
AT01,AT,3244,3244,AT_02
AT01,AT,3250,3250,AT_02
AT01,AT,3251,3251,AT_02
AT01,AT,3252,3252,AT_02
AT01,AT,3253,3253,AT_02
AT01,AT,3254,3254,AT_02
AT01,AT,3261,3261,AT_02
AT01,AT,3262,3262,AT_02
AT01,AT,3263,3263,AT_02
AT01,AT,3264,3264,AT_02
AT01,AT,3270,3270,AT_02
AT01,AT,3281,3281,AT_02
AT01,AT,3282,3282,AT_02
AT01,AT,3283,3283,AT_02
AT01,AT,3291,3291,AT_02
AT01,AT,3292,3292,AT_02
AT01,AT,3293,3293,AT_02
AT01,AT,3294,3294,AT_02
AT01,AT,3295,3295,AT_02
AT01,AT,3300,3300,AT_02
AT01,AT,3304,3304,AT_02
AT01,AT,3311,3311,AT_02
AT01,AT,3312,3312,AT_02
AT01,AT,3313,3313,AT_02
AT01,AT,3314,3314,AT_02
AT01,AT,3321,3321,AT_02
AT01,AT,3322,3322,AT_02
AT01,AT,3323,3323,AT_02
AT01,AT,3324,3324,AT_02
AT01,AT,3325,3325,AT_02
AT01,AT,3331,3331,AT_02
AT01,AT,3332,3332,AT_02
AT01,AT,3333,3333,AT_02
AT01,AT,3334,3334,AT_04
AT01,AT,3335,3335,AT_04
AT01,AT,3340,3340,AT_02
AT01,AT,3341,3341,AT_02
AT01,AT,3342,3342,AT_02
AT01,AT,3343,3343,AT_02
AT01,AT,3344,3344,AT_02
AT01,AT,3345,3345,AT_02
AT01,AT,3350,3350,AT_02
AT01,AT,3351,3351,AT_02
AT01,AT,3352,3352,AT_02
AT01,AT,3353,3353,AT_02
AT01,AT,3354,3354,AT_02
AT01,AT,3355,3355,AT_02
AT01,AT,3356,3356,AT_02
AT01,AT,3361,3361,AT_02
AT01,AT,3362,3362,AT_02
AT01,AT,3363,3363,AT_02
AT01,AT,3364,3364,AT_02
AT01,AT,3365,3365,AT_02
AT01,AT,3366,3366,AT_02
AT01,AT,3370,3370,AT_02
AT01,AT,3371,3371,AT_02
AT01,AT,3372,3372,AT_02
AT01,AT,3373,3373,AT_02
AT01,AT,3374,3374,AT_02
AT01,AT,3375,3375,AT_02
AT01,AT,3376,3376,AT_02
AT01,AT,3380,3380,AT_02
AT01,AT,3381,3381,AT_02
AT01,AT,3382,3382,AT_02
AT01,AT,3383,3383,AT_02
AT01,AT,3384,3384,AT_02
AT01,AT,3385,3385,AT_02
AT01,AT,3386,3386,AT_02
AT01,AT,3387,3387,AT_02
AT01,AT,3390,3390,AT_02
AT01,AT,3392,3392,AT_02
AT01,AT,3393,3393,AT_02
AT01,AT,3400,3400,AT_02
AT01,AT,3402,3402,AT_02
AT01,AT,3404,3404,AT_02
AT01,AT,3413,3413,AT_02
AT01,AT,3420,3420,AT_02
AT01,AT,3421,3421,AT_02
AT01,AT,3422,3422,AT_02
AT01,AT,3423,3423,AT_02
AT01,AT,3424,3424,AT_02
AT01,AT,3425,3425,AT_02
AT01,AT,3426,3426,AT_02
AT01,AT,3430,3430,AT_02
AT01,AT,3433,3433,AT_02
AT01,AT,3434,3434,AT_02
AT01,AT,3435,3435,AT_02
AT01,AT,3441,3441,AT_02
AT01,AT,3442,3442,AT_02
AT01,AT,3443,3443,AT_02
AT01,AT,3451,3451,AT_02
AT01,AT,3452,3452,AT_02
AT01,AT,3454,3454,AT_02
AT01,AT,3455,3455,AT_02
AT01,AT,3462,3462,AT_02
AT01,AT,3463,3463,AT_02
AT01,AT,3464,3464,AT_02
AT01,AT,3465,3465,AT_02
AT01,AT,3470,3470,AT_02
AT01,AT,3471,3471,AT_02
AT01,AT,3472,3472,AT_02
AT01,AT,3473,3473,AT_02
AT01,AT,3474,3474,AT_02
AT01,AT,3481,3481,AT_02
AT01,AT,3482,3482,AT_02
AT01,AT,3483,3483,AT_02
AT01,AT,3484,3484,AT_02
AT01,AT,3485,3485,AT_02
AT01,AT,3491,3491,AT_02
AT01,AT,3492,3492,AT_02
AT01,AT,3493,3493,AT_02
AT01,AT,3494,3494,AT_02
AT01,AT,3495,3495,AT_02
AT01,AT,3500,3500,AT_02
AT01,AT,3501,3501,AT_02
AT01,AT,3503,3503,AT_02
AT01,AT,3504,3504,AT_02
AT01,AT,3505,3505,AT_02
AT01,AT,3506,3506,AT_02
AT01,AT,3508,3508,AT_02
AT01,AT,3511,3511,AT_02
AT01,AT,3512,3512,AT_02
AT01,AT,3521,3521,AT_02
AT01,AT,3522,3522,AT_02
AT01,AT,3524,3524,AT_02
AT01,AT,3525,3525,AT_02
AT01,AT,3531,3531,AT_02
AT01,AT,3532,3532,AT_02
AT01,AT,3533,3533,AT_02
AT01,AT,3541,3541,AT_02
AT01,AT,3542,3542,AT_02
AT01,AT,3543,3543,AT_02
AT01,AT,3544,3544,AT_02
AT01,AT,3550,3550,AT_02
AT01,AT,3552,3552,AT_02
AT01,AT,3553,3553,AT_02
AT01,AT,3561,3561,AT_02
AT01,AT,3562,3562,AT_02
AT01,AT,3564,3564,AT_02
AT01,AT,3571,3571,AT_02
AT01,AT,3572,3572,AT_02
AT01,AT,3573,3573,AT_02
AT01,AT,3580,3580,AT_02
AT01,AT,3591,3591,AT_02
AT01,AT,3592,3592,AT_02
AT01,AT,3593,3593,AT_02
AT01,AT,3594,3594,AT_02
AT01,AT,3595,3595,AT_02
AT01,AT,3601,3601,AT_02
AT01,AT,3602,3602,AT_02
AT01,AT,3610,3610,AT_02
AT01,AT,3611,3611,AT_02
AT01,AT,3613,3613,AT_02
AT01,AT,3620,3620,AT_02
AT01,AT,3621,3621,AT_02
AT01,AT,3622,3622,AT_02
AT01,AT,3623,3623,AT_02
AT01,AT,3631,3631,AT_02
AT01,AT,3632,3632,AT_02
AT01,AT,3633,3633,AT_02
AT01,AT,3641,3641,AT_02
AT01,AT,3642,3642,AT_02
AT01,AT,3643,3643,AT_02
AT01,AT,3644,3644,AT_02
AT01,AT,3650,3650,AT_02
AT01,AT,3652,3652,AT_02
AT01,AT,3653,3653,AT_02
AT01,AT,3654,3654,AT_02
AT01,AT,3660,3660,AT_02
AT01,AT,3661,3661,AT_02
AT01,AT,3662,3662,AT_02
AT01,AT,3663,3663,AT_02
AT01,AT,3664,3664,AT_02
AT01,AT,3665,3665,AT_02
AT01,AT,3671,3671,AT_02
AT01,AT,3672,3672,AT_02
AT01,AT,3680,3680,AT_02
AT01,AT,3681,3681,AT_02
AT01,AT,3683,3683,AT_02
AT01,AT,3684,3684,AT_02
AT01,AT,3691,3691,AT_02
AT01,AT,3701,3701,AT_02
AT01,AT,3702,3702,AT_02
AT01,AT,3704,3704,AT_02
AT01,AT,3710,3710,AT_02
AT01,AT,3711,3711,AT_02
AT01,AT,3712,3712,AT_02
AT01,AT,3713,3713,AT_02
AT01,AT,3714,3714,AT_02
AT01,AT,3720,3720,AT_02
AT01,AT,3721,3721,AT_02
AT01,AT,3722,3722,AT_02
AT01,AT,3730,3730,AT_02
AT01,AT,3741,3741,AT_02
AT01,AT,3742,3742,AT_02
AT01,AT,3743,3743,AT_02
AT01,AT,3744,3744,AT_02
AT01,AT,3751,3751,AT_02
AT01,AT,3752,3752,AT_02
AT01,AT,3753,3753,AT_02
AT01,AT,3754,3754,AT_02
AT01,AT,3761,3761,AT_02
AT01,AT,3762,3762,AT_02
AT01,AT,3763,3763,AT_02
AT01,AT,3800,3800,AT_02
AT01,AT,3804,3804,AT_02
AT01,AT,3811,3811,AT_02
AT01,AT,3812,3812,AT_02
AT01,AT,3813,3813,AT_02
AT01,AT,3814,3814,AT_02
AT01,AT,3820,3820,AT_02
AT01,AT,3822,3822,AT_02
AT01,AT,3823,3823,AT_02
AT01,AT,3824,3824,AT_02
AT01,AT,3830,3830,AT_02
AT01,AT,3834,3834,AT_02
AT01,AT,3841,3841,AT_02
AT01,AT,3842,3842,AT_02
AT01,AT,3843,3843,AT_02
AT01,AT,3844,3844,AT_02
AT01,AT,3851,3851,AT_02
AT01,AT,3852,3852,AT_02
AT01,AT,3860,3860,AT_02
AT01,AT,3861,3861,AT_02
AT01,AT,3862,3862,AT_02
