Customer,CompanyID,UniqueCustomerNumber,CustName,Parent_Name,CustSegment,CustCategory,SalesGroup,RSM,LineDisc,STATE,DateOpened,CreatedDate,LTMsales,NewHalfenCust,CSG,InsideOutside,InsideFlag,Region,CustomerPillar,Country
000780,045,045-000780,Transcon Supply,Transcon Supply,Distributor- Local,Distributor,EJPfab,Con-Fab,DealerA,VA,12/21/2007,11/27/2010," 17,190 ",,,O,,North,Other,US
003475,045,045-003475,SouthernCarlson - Sacramento,SouthernCarlson Inc.,Distributor - National,Distributor,DwightWeev,Con-Fab,DealerD,CA,4/17/2017,4/17/2017," 17,190 ",,,O,,West,Other,US
001937,045,045-001937,Raw Equipment Corp.,Raw Equipment Corp.,Distributor- Local,Distributor,DonFowler,Con-Fab,DealerB,NY,7/10/1990,11/27/2010," 17,099 ",,,O,,North,Other,US
000483,045,045-000483,WC Roanoke VA #191,White Cap,White Cap,Distributor,EJPfab,Con-Fab,DealrA2Tlt,CT,9/30/2010,11/27/2010," 17,015 ",,CSG,O,,North,Other,US
003871,045,045-003871,Ram Tool - IL,Ram Tool,Distributor- Regional,Distributor,GregHolsho,Con-Fab,DealerA,AL,4/3/2019,4/3/2019," 16,990 ",,,O,,South,Other,US
000974,045,045-000974,K.C. Building Supply,K.C. Building Supply,Distributor- Local,Distributor,LoriDykes,Con-Fab,DealerC,FL,1/12/1993,11/27/2010," 16,928 ",,,O,,South,Other,US
005992,045,045-005992,IDA International (Glazer),,Glazing Contractor,Contractor,DonFowler,con-fab,,CT,9/1/2021,9/1/2021," 16,915 ",,,O,,North,Other,US
100223,045,045-100223,Utilicon,Utilicon,Utility Precast Producer,Precast,GaryPascoe,Prec-Pres,,ON,1/1/1900,10/27/2012," 16,856 ",,,O,,West,Precast,CA
001425,045,045-001425,Capital Precast,Capital Precast Inc.,Utility Precast Producer,Precast,DavidChris,Prec-Pres,PrecastC,TX,1/18/1999,11/27/2010," 16,819 ",,,O,,South,Precast,US
004771,045,045-004771,MasonPro Inc,White Cap,Distributor- Local,Distributor,GregHolsho,Con-Fab,Whitecap,MI,3/26/2020,3/26/2020," 16,793 ",New Halfen,CSG,O,,North,Other,US
003945,045,045-003945,Ram Tool - WIlmington NC,Ram Tool,Distributor - National,Distributor,GregArnet,Con-Fab,DealerA,NC,12/16/2019,12/16/2019," 16,766 ",,,O,,South,Other,US
003921,045,045-003921,ACME Construction Supply - La Mirada,Acme Construction Supply,Distributor- Regional,Distributor,DwightWeev,Con-Fab,DealerB,OR,9/30/2019,9/30/2019," 16,677 ",,,O,,West,Other,US
001733,045,045-001733,Wc Concord #16,White Cap,White Cap,Distributor,DwightWeev,Con-Fab,Whitecap,CA,11/3/2004,11/27/2010," 16,388 ",,CSG,O,,West,Other,US
001416,045,045-001416,"CMC Construction - College #56, TX",CMC Construction,Rebar Fabricator- National,Fabricator,KelseyWahl,Con-Fab,DealerATlt,TX,2/11/2008,11/27/2010," 16,371 ",,,O,,South,Other,US
000872,045,045-000872,Merit Fasteners Corp.,Merit Fasteners Corp.,Distributor- Local,Distributor,LoriDykes,Con-Fab,DealerB,FL,7/3/1996,11/27/2010," 16,299 ",,,O,,South,Other,US
003206,045,045-003206,Dakota Riggers & Tool Supply Inc.,Dakota Riggers & Tool Supply Inc.,Utility Precast Producer,Precast,NickFain,Prec-Pres,PrecastB,SD,12/15/2014,12/15/2014," 16,278 ",  ,,O,,North,Precast,US
005818,045,045-005818,RK Steel,RK Steel,Regional Contractor,Contractor,RichBrownr,con-fab,,CO,6/3/2021,6/3/2021," 16,202 ",,,O,,West,Other,US
005789,045,045-005789,Mg McGrath Inc,Mg McGrath Inc,Glazing Contractor,Contractor,RichBrownr,con-fab,,MN,5/20/2021,5/20/2021," 16,147 ",  ,,O,,North,Other,US
005477,045,045-005477,WC Freyburg #149,White Cap,White Cap,Distributor,DonFowler,con-Fab,Whitecap,ME,4/23/2020,4/23/2020," 16,085 ",,CSG,O,,North,Other,US
005786,045,045-005786,"DYWIDAG -DSI Canada Civil, LTD",Dywidag Systems Intl,Post Tension Fabricator,Fabricator,GregHolsho,con-fab,,BC,5/19/2021,5/19/2021," 16,045 ",,,O,,West,Other,CA
100062,045,045-100062,Gillespie Precast,Gillespie Precast,Utility Precast Producer,Precast,GaryPascoe,Prec-Pres,,MD,1/1/1900,10/27/2012," 15,939 ",,,O,,North,Precast,US
001265,045,045-001265,American Vault Corp,American Vault Corp,Utility Precast Producer,Precast,DavidChris,Prec-Pres,PrecastC,TX,3/18/1993,11/27/2010," 15,886 ",,,O,,South,Precast,US
001168,045,045-001168,Cast Stone Systems,Cast Stone Systems,Architectural Producer,Precast,JeffMyers,Prec-Pres,PrecastC,NC,12/6/2006,11/27/2010," 15,886 ",,,O,,South,Precast,US
001719,045,045-001719,Walker Industries Ltd,Walker Industries Ltd,Utility Precast Producer,Precast,EricNesset,Prec-Pres,PrecastD,HI,9/21/2000,11/27/2010," 15,810 ",,,O,,West,Precast,US
000894,045,045-000894,Standard Concrete - Tampa,Standard Concrete,Prestress Producer,Prestress Producer,JeffMyers,Prec-Pres,PrecastA,FL,1/29/1997,11/27/2010," 15,761 ",,,O,,South,Precast,US
005465,045,045-005465,"Kone Inc - Knoxville, TN",Kone Inc.,Regional Contractor,Contractor,GregArnet,Con-Fab,,TN,4/15/2020,4/15/2020," 15,750 ",,,O,,South,Other,US
004880,045,045-004880,Novum Structures,Novum Structures,Glazing Contractor,Contractor,RichBrownr,Con-Fab,,WI,3/26/2020,3/26/2020," 15,704 ",New Halfen,,O,,North,Other,US
100227,045,045-100227,Utility Structures Inc.,Utility Structures Inc.,Prestress Producer,Prestress Producer,GaryPascoe,Prec-Pres,,ON,1/1/1900,10/27/2012," 15,682 ",,,O,,West,Precast,CA
005684,045,045-005684,"Dakota Precision Fabricating, INC.","Dakota Precision Fabricating, INC",,,RichBrownr,con-fab,,ND,3/8/2021,3/8/2021," 15,681 ",,,O,,North,Other,US
003550,045,045-003550,"JK Glass Company, Inc",JK Glass,Glazing Contractor,Contractor,EJPfab,Con-Fab,FabricD,MA,12/8/2017,12/8/2017," 15,604 ",,,O,,North,Other,US
000787,045,045-000787,Valley Supply,Valley Supply,Distributor- Local,Distributor,EJPfab,Con-Fab,,PA,5/4/1995,11/27/2010," 15,560 ",,,O,,North,Other,US
001169,045,045-001169,Kuhlman Corp - Toledo,Kuhlman Corp - Toledo,Distributor- Regional,Distributor,GregHolsho,Con-Fab,DealerC,OH,2/26/1992,11/27/2010," 15,524 ",,,O,,North,Other,US
002117,045,045-002117,Alabama Machine & Supp,Alabama Machine & Supp,Distributor- Local,Distributor,GregArnet,Con-Fab,DealerC,AL,12/29/2010,12/29/2010," 15,446 ",,,O,,South,Other,US
003611,045,045-003611,"Ambassador Steel - St. Louis, MO",Ambassador Steel,Rebar Fabricator- National,Fabricator,RichBrownr,Con-Fab,Fabric A,MO,6/5/2018,6/5/2018," 15,445 ",,,O,,South,Other,US
000942,045,045-000942,Florida Floats Inc.,Bellingham Marine,Utility Precast Producer,Precast,LoriDykes,Con-Fab,PrecastD,FL,6/25/1989,11/27/2010," 15,313 ",,,O,,South,Precast,US
004425,045,045-004425,Fireball Fab & Metal Sales LLC,Fireball Fab & Metal Sales LLC,Job/Other,Other,RichBrownr,Con-Fab,,MN,3/26/2020,3/26/2020," 15,240 ", New Halfen ,,O,,North,Other,US
005651,045,045-005651,Reiman Corp.,Reiman Corp.,,,ClintKilbo,prec-pres,DealerA,WY,2/3/2021,2/3/2021," 15,238 ",,,O,,West,Other,US
002641,045,045-002641,"Harris Rebar Nufab - New Braunfels, TX",Harris Rebar,Rebar Fabricator- National,Fabricator,GregArnet,Con-Fab,Fabric A,TX,2/8/2012,2/8/2012," 15,232 ",,,O,,South,Other,US
003159,045,045-003159,MaCon Supply Inc.,MaCon Supply Inc.,Distributor- Regional,Distributor,ScottRolu,Con-Fab,DealerC,MT,9/18/2014,9/18/2014," 15,227 ",,,O,,West,Other,US
000543,045,045-000543,Jobsite Supply,Jobsite Supply,Distributor- Local,Distributor,GregHolsho,Con-Fab,DealerC,IN,6/6/2006,11/27/2010," 15,167 ",,,O,,North,Other,US
002111,045,045-002111,Parker Marine Cont Co,Parker Marine Cont Co,Utility Precast Producer,Precast,JeffMyers,Prec-Pres,PrecastD,SC,12/29/2010,12/29/2010," 15,113 ",,,O,,South,Precast,US
000938,045,045-000938,"Concrete Products Of Palm Beaches, Inc","Concrete Products Of Palm Beaches, Inc",Utility Precast Producer,Precast,LoriDykes,Prec-Pres,PrecastC,FL,4/19/2005,11/27/2010," 15,083 ",,,O,,South,Precast,US
003105,045,045-003105,Landwehr Const. - rental billing,Landwehr Construction Inc.,Regional Contractor,Contractor,House,Con-Fab,,MN,5/30/2014,5/30/2014," 15,075 ",,,O,,North,Other,US
100085,045,045-100085,"Murphy Cormier Gen. Contr,, Inc.","Murphy Cormier Gen. Contr,, Inc.",Utility Precast Producer,Precast,DavidChris,Prec-Pres,,LA,1/1/1900,10/27/2012," 15,041 ",,,O,,South,Precast,US
003618,045,045-003618,Fastenal - BTIA,Fastenal,Distributor - National,Distributor,RichBrownr,Con-Fab,DealerB,IA,6/11/2018,6/11/2018," 14,955 ",,,O,,North,Other,US
003952,045,045-003952,Tito G. Sr. (Global B.)-Rental Billing,Tito Galdamez Sr. dba Global Brace,Regional Contractor,Contractor,House,Con-Fab,,FL,1/7/2020,1/7/2020," 14,923 ",,,O,,South,Other,US
003445,045,045-003445,WC Aledo #703,White Cap,White Cap,Distributor,KelseyWahl,Con-Fab,Whitecap,TX,2/2/2017,2/2/2017," 14,921 ",,CSG,O,,South,Other,US
003203,045,045-003203,Maxwell Supply Co. - Rental Billing,"Maxwell Supply - OK City, OK",Distributor- Regional,Distributor,House,Con-Fab,,OK,12/11/2014,12/11/2014," 14,861 ",,,O,,South,Other,US
005472,045,045-005472,"Kone Inc - Des Moines, IA",Kone Inc.,Regional Contractor,Contractor,RichBrownr,Con-Fab,,IA,4/17/2020,4/17/2020," 14,769 ",,,O,,North,Other,US
002725,045,045-002725,OLDCASTLE PRECAST MODULAR,Oldcastle Precast,Oldcastle Precast,Precast,House,Prec-Pres,Oldcastle,PA,8/9/2012,8/9/2012," 14,751 ",,,I,-,North,Precast,US
002720,045,045-002720,RAM TOOL - Baton Rouge,Ram Tool,Distributor- Regional,Distributor,GregArnet,Con-Fab,DealerA,LA,7/31/2012,7/31/2012," 14,746 ",,,O,,South,Other,US
006082,045,045-006082,HiLine Engineering & Fabrication,,Utility Precast Producer,Precast,EricNesset,con-fab,,WA,10/20/2021,10/20/2021," 14,680 ",,,O,,West,Precast,US
000625,045,045-000625,Mid America Steel Inc,Mid America Steel Inc,Rebar Fabricator- Local,Fabricator,RichBrownr,Con-Fab,Fabric B,ND,10/12/1996,11/27/2010," 14,668 ",,,O,,North,Other,US
000934,045,045-000934,Concrete Impressions- Pompano,Concrete Impressions,Architectural Producer,Precast,JeffMyers,Prec-Pres,PrecastB,FL,3/13/2001,11/27/2010," 14,604 ",,,O,,South,Precast,US
001198,045,045-001198,New South Construction,New South Construction,Distributor- Regional,Distributor,GregArnet,Con-Fab,DealerB,SC,6/15/1990,11/27/2010," 14,515 ",,,O,,South,Other,US
000534,045,045-000534,H D Forming Co Inc,H D Forming Co Inc,Distributor- Regional,Distributor,EJPfab,Con-Fab,DealerC,PA,5/1/2007,11/27/2010," 14,515 ",,,O,,North,Other,US
006053,045,045-006053,Mjs Design Build,,Masonry Contractor,Contractor,GregHolsho,con-fab,,IL,10/6/2021,10/6/2021," 14,501 ",,,O,,North,Other,US
000678,045,045-000678,Vision Construction,Vision Construction,Distributor- Local,Distributor,DwightWeev,Con-Fab,DealerC,UT,10/12/1996,11/27/2010," 14,470 ",,,O,,West,Other,US
003369,045,045-003369,Reno Hardware & Supply Inc.,Reno Hardware & Supply Inc.,Distributor- Local,Distributor,DwightWeev,Con-Fab,DealerD,CA,4/12/2016,4/12/2016," 14,469 ",,,O,,West,Other,US
002983,045,045-002983,WC Joliet #600,White Cap,White Cap,Distributor,GregHolsho,Con-Fab,Whitecap,IL,10/24/2013,10/24/2013," 14,436 ",,CSG,O,,North,Other,US
005652,045,045-005652,"Able Masonry, Inc","Able Masonry, Inc",Masonry Contractor,Contractor,GregArnet,con-fab,,TN,2/3/2021,2/3/2021," 14,407 ",,,O,,South,Other,US
